nombre_sitio,tipo_atractivo,latitud,longitud
,,,
Aeroparque Parque Juan Pablo II,Parque temático y recreativo,6.22229004,-75.59167481
,,,
Aeropuerto Enrique Olaya Herrera,Aeropuerto de pasajeros,6.21887207,-75.58947754
,,,
Barrio Prado,Sector urbano o rural de interés,6.25952148,-75.56182861
,,,
Basílica Menor Nuestra Señora de la Candelaria,Basílica,6.25012207,-75.56750488
,,,
Bulevar Libertadores de América,Sector urbano o rural de interés,6.25128174,-75.58831787
,,,
Calle de la Buena Mesa,Sector urbano o rural de interés,6.21228027,-75.57067871
,,,
Casa de la Lectura Infantil,Sala múltiple,6.24871826,-75.56420898
,,,
Casa de Música El Jordán,Otro,6.27508545,-75.59527588
,,,
Casa Museo Maestro Pedro Nel Gómez,Museo,6.27850342,-75.5625
,,,
Catedral Basílica Metropolitana de la Inmaculada Concepción de María,Catedral,6.25408936,-75.56378174
,,,
Cementerio San Lorenzo,Cementerio,6.24169922,-75.56610107
,,,
Centro Administrativo´José María Córdoba´,Centro administrativo,6.24450684,-75.57348633
,,,
Centro Comercial Palacio Nacional,Edificación comercial,6.24890137,-75.5703125
,,,
Centro de Desarrollo Cultural de Moravia,Centro de formación cultural,6.27648926,-75.56469727
,,,
Centro de Espectáculos La Macarena,Plaza de toros,6.24969482,-75.58050537
,,,
Cerro Pan de Azúcar,Cerro,6.24707031,-75.53527832
,,,
Complejo Arquitectónico Claustro San Ignacio,Claustro,6.24627686,-75.56420898
,,,
Conjunto de Esculturas de Botero,Escultura,6.25231934,-75.56817627
,,,
Ecoparque Cerro Picacho,Cerro,6.30407715,-75.58850098
,,,
Edificio Antigua Estación Medellín,Estación de ferrocarril,6.24468994,-75.57189941
,,,
Edificio Carré,Centro administrativo,6.24591064,-75.57122803
,,,
Edificio Coltejer,Edificación comercial,6.25012207,-75.565979
,,,
Edificio Inteligente Empresas Públicas de Medellín,Otro,6.2454834,-75.57769775
,,,
Edificio Vásquez,Otro,6.24572754,-75.57141113
,,,
Escaleras Eléctricas Comuna 13,Sector urbano o rural de interés,6.2479248,-75.62188721
,,,
Escultura Cacique Nutibara,Escultura,6.23651123,-75.57989502
,,,
Escultura La Gorda de Botero,Escultura,6.24987793,-75.56781006
,,,
Estatua a Simón Bolívar,Estatua,6.25311279,-75.5645752
,,,
Fuente Cacique de Nutibara,Fuente,6.25176563,-75.56762458
,,,
Iglesia de San Antonio,Iglesia,6.24450684,-75.56890869
,,,
Iglesia Jesús de Nazareno,Iglesia,6.2598877,-75.56671143
,,,
Iglesia La Veracruz,Iglesia,6.25128174,-75.56951904
,,,
Iglesia San José de El Poblado,Iglesia,6.21008301,-75.57049561
,,,
Jardín Botánico Joaquín Antonio Uribe,Jardín botánico,6.27069092,-75.5637207
,,,
Jardín Morro de Moravia,Sector urbano o rural de interés,6.27728272,-75.56781006
,,,
Milla de Oro,Avenida y calle,6.20007324,-75.57220459
,,,
Monumento a Carlos Gardel,Monumento,6.21807861,-75.58679199
,,,
Monumento a la Raza,Monumento,6.24432373,-75.57348633
,,,
Monumento a La Vida,Monumento,6.2545166,-75.57897949
,,,
Monumento a la Vida,Escultura,6.25427246,-75.57897949
,,,
Monumento al Tango,Monumento,6.21807861,-75.58679199
,,,
Monumento El Pájaro,Monumento,6.2454834,-75.6171875
,,,
Monumento Paloma de la Paz,Monumento,6.2454834,-75.6171875
,,,
Museo al Aire Libre Acueducto del Siglo XIX,Sector urbano o rural de interés,6.25091553,-75.56921387
,,,
Museo Casa de la Memoria,Museo,6.24591064,-75.55657959
,,,
Museo Casa Gardeliana,Museo,6.26947021,-75.5546875
,,,
Museo Cementerio San Pedro,Museo,6.26568603,-75.56140137
,,,
Museo de Antioquia,Museo,6.25231934,-75.56890869
,,,
Museo de Arte Moderno de Medellín,Museo,6.22351074,-75.57409668
,,,
Museo del Agua,Museo,6.24511719,-75.57611084
,,,
Museo El Castillo,Museo,6.19012451,-75.56939697
,,,
Museo Etnográfico Madre Laura,Museo,6.24572754,-75.61700439
,,,
Palacio de Bellas Artes,Centro de formación cultural,6.24688721,-75.56311035
,,,
Palacio de la Cultura Rafael Uribe Uribe,Otro,6.25152588,-75.56829834
,,,
Parque Ambiental Bosques de La Frontera,Parque urbano,6.18511963,-75.57629395
,,,
Parque Biblioteca España,Biblioteca,6.29467773,-75.54412842
,,,
Parque de Berrío,Parque urbano,6.24987793,-75.56781006
,,,
Parque de Bolívar,Parque urbano,6.25311279,-75.5645752
,,,
Parque de El Poblado,Parque urbano,6.21032715,-75.57110596
,,,
Parque de los Deseos,Parque urbano,6.26849365,-75.565979
,,,
Parque de los Pies Descalzos,Parque urbano,6.24468994,-75.5770874
,,,
Parque Explora,Parque temático y recreativo,6.27008057,-75.56561279
,,,
Parque Lineal La Presidenta,Parque urbano,6.20788574,-75.5703125
,,,
Parque Lleras,Parque urbano,6.20910644,-75.56781006
,,,
Parque Natural Metropolitano Cerro El Volador,Cerro,6.26928711,-75.58282471
,,,
Parque Natural Metropolitano Cerro Nutibara,Cerro,6.23651123,-75.57989502
,,,
Parque Norte J. Emilio Valderrama,Parque temático y recreativo,6.27270508,-75.56817627
,,,
Parque Regional Ecoturístico Arví,Áreas con declaratorias departamentales,6.28948975,-75.51080322
,,,
Parque de la Conservación,Otro,6.22332764,-75.57958984
,,,
Paseo Bolívar,Sector urbano o rural de interés,6.24627686,-75.57012939
,,,
Paseo Peatonal Ayacucho,Sector urbano o rural de interés,6.24249268,-75.55609131
,,,
Paseo Peatonal Carabobo,Sector urbano o rural de interés,6.25128174,-75.5692749
,,,
Paseo Peatonal de Junín,Sector urbano o rural de interés,6.25152588,-75.56549072
,,,
Paseo Provenza,Avenida y calle,6.20690918,-75.56530762
,,,
Pequeño Teatro,Teatro,6.24749756,-75.56158447
,,,
Placita de Flórez,Plaza de mercado,6.24627686,-75.55969238
,,,
Planetario Municipal de Medellín Jesús Emilio Ramírez González,Planetario,6.269104,-75.565979
,,,
Plaza Botero,Plaza,6.25231934,-75.56817627
,,,
Plaza Cisneros,Plaza,6.24609375,-75.57232666
,,,
Plaza Gardel,Plaza,6.21807861,-75.58679199
,,,
Plaza Mayor Medellín Convenciones y Exposiciones,Otro,6.24310303,-75.57641602
,,,
Plaza Minorista José María Villa,Plaza de mercado,6.25732422,-75.57269287
,,,
Pueblito Paisa,Plaza,6.23608398,-75.5802002
,,,
Puente de Guayaquil,Otro,6.23388672,-75.57568359
,,,
Santuario Santa Laura Montoya,Convento,6.24572754,-75.61700439
,,,
Teatro Lido,Teatro,6.25231934,-75.5645752
,,,
Teatro Metropolitano de Medellín José Gutiérrez Gómez,Teatro,6.24310303,-75.57757568
,,,
Teatro Pablo Tobón Uribe,Teatro,6.24749756,-75.5592041
,,,
Teatro Prado el Águila Descalza,Teatro,6.25469971,-75.56060791
,,,
Unidad Deportiva Atanasio Girardot,Otro,6.25671387,-75.59002686
,,,
Unidad Deportiva de Belén Andrés Escobar Saldarriaga,Estadio,6.23608398,-75.58752441
,,,
Vía Primavera,Avenida y calle,6.20812988,-75.56707764
